t;P_W
211.18449809925;0.288
212.18065139217097;0.28
213.17680468509195;12.853
214.17295797801296;12.86
215.16911127093394;12.88
216.16526456385495;12.86
217.16141785677593;2.84
218.1575711496969;2.83
219.15372444261791;1.28
220.1498777355389;0.287
221.1460310284599;1.288
222.14218432138088;1.285
223.13833761430186;1.286
224.13449090722287;1.285
225.13064420014385;1.283
226.12679749306483;1.284
227.12295078598584;0.284
228.11910407890682;1.284
229.11525737182782;1.28
230.1114106647488;1.877
231.10756395766978;0.1377
232.1037172505908;1.288
233.09987054351177;12.886
234.09602383643278;2.8
235.09217712935376;2.84
236.08833042227474;1.287
237.08448371519574;1.215
238.08063700811672;1.216
239.0767903010377;1.28
240.0729435939587;0.283
241.0690968868797;1.284
242.0652501798007;1.285
243.06140347272168;1.28
244.05755676564266;2.0
245.05371005856367;1.28
246.04986335148465;1.28
247.04601664440565;1.284
248.04216993732663;1.28
249.0383232302476;1.215
250.03447652316862;12.185
251.0306298160896;15.0
252.02678310901058;0.0
253.0229364019316;0.002
254.01908969485257;1.881
255.01524298777358;1.285
256.01139628069456;1.285
257.00754957361556;1.25
258.0037028665365;1.215
258.9998561594575;1.21
259.99600945237853;1.216
260.9921627452995;0.28
261.9883160382205;1.215
262.9844693311415;6.6899999999999995
263.9806226240625;12.165
264.97677591698346;12.18
265.97292920990446;7.0
266.9690825028255;1.875
267.9652357957464;1.28
268.96138908866743;1.28
269.95754238158844;12.158
270.9536956745094;12.16
271.9498489674304;12.165
272.9460022603514;12.165
273.94215555327236;12.18
274.93830884619337;12.85
275.9344621391144;12.8
276.9306154320354;2.8
277.92676872495633;1.875
278.92292201787734;1.875
279.91907531079835;1.28
280.9152286037193;1.851
281.9113818966403;1.877
282.9075351895613;1.214
283.90368848248227;1.216
284.8998417754033;12.718
285.8959950683243;12.85
286.89214836124523;18.85
287.88830165416624;12.85
288.88445494708725;18.75
289.88060824000826;12.18
290.8767615329292;12.16
291.8729148258502;12.84
292.8690681187712;12.85
293.8652214116922;12.8
294.8613747046132;12.805
295.8575279975342;12.8
296.85368129045514;12.8
297.84983458337615;12.8
298.84598787629716;12.8
299.8421411692181;12.8
300.8382944621391;12.8
301.8344477550601;12.8
302.83060104798113;12.8
303.8267543409021;12.8
304.8229076338231;12.8
305.8190609267441;12.8
306.81521421966505;12.8
307.81136751258606;12.8
308.80752080550707;12.85
309.803674098428;18.81
310.799827391349;12.86
311.79598068427003;12.8
312.792133977191;12.8
313.788287270112;12.8
314.784440563033;12.87
315.780593855954;2.8
316.77674714887496;1.28
317.77290044179597;1.28
318.769053734717;1.285
319.7652070276379;1.285
320.76136032055894;1.28
321.75751361347994;1.285
322.7536669064009;1.285
323.7498201993219;1.28
324.7459734922429;1.286
325.74212678516386;7.5585
326.73828007808487;13.831
327.7344333710059;13.34
328.7305866639269;13.094999999999999
329.72673995684784;12.85
330.72289324976884;13.341
331.71904654268985;12.85
332.7151998356108;18.811
333.7113531285318;2.0
334.7075064214528;1.28
335.70365971437377;1.287
336.6998130072948;1.29
337.6959663002158;0.287
338.69211959313674;18.831
339.68827288605775;15.840499999999999
340.68442617897875;12.85
341.68057947189976;12.85
342.6767327648207;12.89
343.6728860577417;12.83
344.66903935066273;13.551
345.6651926435837;12.85
346.6613459365047;12.82
347.6574992294257;12.88
348.65365252234665;12.85
349.64980581526765;12.87
350.64595910818866;13.1
351.6421124011096;13.33
352.6382656940306;12.87
353.63441898695163;12.88
354.63057227987264;12.87
355.6267255727936;12.85
356.6228788657146;1.0
357.6190321586356;1.285
358.61518545155656;1.285
359.61133874447756;2.0
360.6074920373986;1.282
361.6036453303195;11.3811
362.59979862324053;2.0
363.59595191616154;1.28
364.5921052090825;1.288
365.5882585020035;1.2
366.5844117949245;0.285
367.5805650878455;0.2
368.57671838076647;0.12
369.5728716736875;0.21
370.5690249666085;0.289
371.56517825952943;0.071
372.56133155245044;0.02
373.55748484537145;0.289
374.5536381382924;0.12
375.5497914312134;0.293
376.5459447241344;0.288
377.54209801705537;0.289
378.5382513099764;0.29
379.5344046028974;0.129
380.5305578958184;1.299
381.52671118873934;1.27
382.52286448166035;1.24
383.51901777458136;1.2
384.5151710675023;1.299
385.5113243604233;1.2
386.5074776533443;18.311
387.5036309462653;0.9981
388.4997842391863;1.289
389.4959375321073;1.293
390.49209082502824;1.295
391.48824411794925;1.295
