t;P_W
130.17454269449718;211.79999999999998
131.16071347248578;246.59999999999997
132.1468842504744;281.4
133.13305502846302;316.2
134.11922580645162;351.0
135.10539658444023;351.0
136.09156736242886;351.0
137.07773814041747;351.0
138.0639089184061;351.0
139.0500796963947;351.0
140.0362504743833;351.0
141.02242125237194;351.0
142.00859203036055;351.0
142.99476280834915;179.0
143.98093358633778;7.0
144.9671043643264;1779.0
145.953275142315;3551.0
146.93944592030363;1779.0
147.92561669829223;7.0
148.91178747628086;38.0
149.89795825426947;29.333333333333336
150.88412903225807;20.666666666666668
151.8702998102467;12.0
152.8564705882353;10.5375
153.84264136622392;9.075
154.82881214421255;7.612500000000001
155.81498292220115;6.15
156.80115370018976;4.6875
157.7873244781784;3.2250000000000014
158.773495256167;1.762500000000001
159.7596660341556;0.3
160.74583681214423;1.9
161.73200759013284;3.4999999999999996
162.71817836812147;5.1
163.70434914611008;5.194999999999999
164.69051992409868;5.29
165.6766907020873;5.385
166.66286148007592;5.4799999999999995
167.64903225806452;5.574999999999999
168.63520303605316;5.67
169.62137381404176;5.765
170.60754459203037;5.859999999999999
171.593715370019;5.955
172.5798861480076;6.05
173.56605692599624;6.145
174.55222770398484;6.24
175.53839848197345;6.335
176.52456925996208;6.43
177.51074003795068;6.525
178.4969108159393;6.62
179.48308159392792;6.715
180.46925237191653;6.81
181.45542314990513;6.905
182.44159392789376;7.0
183.42776470588237;37.0
184.413935483871;32.439375
185.4001062618596;27.87875
186.3862770398482;23.318125000000002
187.37244781783684;18.7575
188.35861859582545;14.196874999999999
189.34478937381405;9.63625
190.33096015180269;5.075625000000002
191.3171309297913;0.515
192.3033017077799;0.4764
193.28947248576853;0.4378
194.27564326375713;0.3992
195.26181404174574;0.36060000000000003
196.24798481973437;0.322
197.23415559772297;0.326125
198.2203263757116;0.33025
199.2064971537002;0.33437500000000003
200.19266793168882;0.3385
201.17883870967745;0.342625
202.16500948766605;0.34675
203.15118026565466;0.350875
204.1373510436433;0.355
205.1235218216319;0.359125
206.1096925996205;0.36325
207.09586337760913;0.367375
208.08203415559774;0.3715
209.06820493358637;0.375625
210.05437571157498;0.37975000000000003
211.04054648956358;0.383875
212.02671726755221;0.388
213.01288804554082;0.392125
213.99905882352942;0.39625
214.98522960151806;0.40037500000000004
215.97140037950666;0.4045
216.95757115749527;0.408625
217.9437419354839;0.41275
218.9299127134725;0.416875
219.91608349146114;0.42100000000000004
220.90225426944974;0.42512500000000003
221.88842504743835;0.42925
222.87459582542698;0.433375
223.86076660341558;0.4375
224.8469373814042;0.44162500000000005
225.83310815939282;0.44575
226.81927893738143;0.449875
227.80544971537003;0.454
228.79162049335866;0.458125
229.77779127134727;0.46225000000000005
230.76396204933587;0.466375
231.7501328273245;0.47050000000000003
232.7363036053131;0.474625
233.72247438330174;0.47875
234.70864516129035;0.48287500000000005
235.69481593927895;0.487
236.6809867172676;0.49112500000000003
237.6671574952562;0.49525
238.6533282732448;0.499375
239.63949905123343;0.5035000000000001
240.62566982922203;0.507625
241.61184060721064;0.51175
242.59801138519927;0.5158750000000001
243.58418216318788;0.52
