"Time (s) Run #1";"Temperature 1, Ch 2 (°C) Run #1";"Temperature 2, Ch 2 (°C) Run #1";"Temperature 3, Ch 2 (°C) Run #1";"Temperature 1, Ch 1 (°C) Run #1";"Temperature 2, Ch 1 (°C) Run #1";"Temperature 3, Ch 1 (°C) Run #1";"Time (s) Run #2";"Temperature 1, Ch 1 (°C) Run #2";"Temperature 2, Ch 1 (°C) Run #2";"Temperature 3, Ch 1 (°C) Run #2";"Force Beam 1 (N) Run #2";"Force Beam 2 (N) Run #2";"Force Beam 3 (N) Run #2";"Force Beam 4 (N) Run #2";"Normal Force (N) Run #2";"Parallel Force (N) Run #2";"Time (s) Run #3";"Temperature 1, Ch 1 (°C) Run #3";"Temperature 2, Ch 1 (°C) Run #3";"Temperature 3, Ch 1 (°C) Run #3";"Force Beam 1 (N) Run #3";"Force Beam 2 (N) Run #3";"Force Beam 3 (N) Run #3";"Force Beam 4 (N) Run #3";"Normal Force (N) Run #3";"Parallel Force (N) Run #3";"Time (s) Run #4";"Temperature 1, Ch 1 (°C) Run #4";"Temperature 2, Ch 1 (°C) Run #4";"Temperature 3, Ch 1 (°C) Run #4";"Force Beam 1 (N) Run #4";"Force Beam 2 (N) Run #4";"Force Beam 3 (N) Run #4";"Force Beam 4 (N) Run #4";"Normal Force (N) Run #4";"Parallel Force (N) Run #4";"Time (s) Run #5";"Temperature 1, Ch 2 (°C) Run #5";"Temperature 2, Ch 2 (°C) Run #5";"Temperature 3, Ch 2 (°C) Run #5";"Temperature 1, Ch 1 (°C) Run #5";"Temperature 2, Ch 1 (°C) Run #5";"Temperature 3, Ch 1 (°C) Run #5";"Time (s) Run #6";"Temperature 1, Ch 2 (°C) Run #6";"Temperature 2, Ch 2 (°C) Run #6";"Temperature 3, Ch 2 (°C) Run #6";"Temperature 1, Ch 1 (°C) Run #6";"Temperature 2, Ch 1 (°C) Run #6";"Temperature 3, Ch 1 (°C) Run #6"
1,250;18,94;20,35;21,92;18,29;20,01;20,43;1,250;19,87;20,20;20,24;-28,47;29,61;-26,87;29,60;3,86;0,06;1,250;17,16;20,07;21,06;-28,39;29,72;-27,12;29,30;3,51;-0,10;1,250;12,91;17,77;20,76;-28,23;29,25;-26,87;29,73;3,87;-0,02;;;;;;;;1,250;11,63;18,07;20,21;13,09;19,63;20,37
1,300;18,94;20,35;21,92;18,29;20,01;20,43;1,300;19,87;20,20;20,24;-28,39;29,75;-26,87;29,57;4,05;0,06;1,300;17,16;20,07;21,06;-28,37;29,75;-27,12;29,52;3,78;0,02;1,300;12,91;17,76;20,76;-28,13;29,30;-26,87;29,65;3,95;0,02;;;;;;;;1,300;11,63;18,07;20,21;13,09;19,63;20,37
1,350;18,94;20,35;21,92;18,29;20,01;20,43;1,350;19,87;20,20;20,24;-28,37;29,80;-26,95;29,62;4,10;-0,02;1,350;17,16;20,07;21,06;-28,34;29,80;-27,09;29,38;3,75;0,02;1,350;12,91;17,76;20,76;-28,18;29,25;-26,95;29,62;3,74;-0,06;;;;;;;;1,350;11,63;18,07;20,21;13,09;19,63;20,36
1,400;18,93;20,35;21,92;18,29;20,01;20,43;1,400;19,87;20,20;20,24;-28,45;29,64;-26,95;29,60;3,83;0,06;1,400;17,16;20,06;21,06;-28,50;29,80;-27,06;29,44;3,68;0,02;1,400;12,91;17,76;20,76;-28,16;29,14;-26,90;29,70;3,79;-0,02;;;;;;;;1,400;11,63;18,07;20,21;13,09;19,63;20,37
1,450;18,94;20,35;21,92;18,28;20,01;20,43;1,450;19,87;20,20;20,24;-28,37;29,61;-26,82;29,60;4,02;0,15;1,450;17,16;20,06;21,06;-28,39;29,61;-27,03;29,52;3,70;0,02;1,450;12,91;17,76;20,75;-28,31;29,36;-26,93;29,62;3,74;-0,02;;;;;;;;1,450;11,63;18,07;20,22;13,09;19,63;20,36
1,500;19,04;20,35;21,92;18,29;20,01;20,43;1,500;19,87;20,20;20,24;-28,42;29,69;-27,03;29,49;3,73;0,06;1,500;17,16;20,07;21,06;-28,47;29,77;-27,14;29,36;3,51;0,02;1,500;12,91;17,76;20,75;-28,10;29,36;-26,98;29,65;3,93;-0,02;;;;;;;;1,500;11,62;18,07;20,22;13,09;19,63;20,37
1,550;19,13;20,35;21,92;18,28;20,01;20,43;1,550;19,87;20,20;20,24;-28,50;29,55;-26,95;29,57;3,67;-0,02;1,550;17,16;20,06;21,06;-28,37;29,77;-27,12;29,57;3,86;-0,02;1,550;12,91;17,76;20,75;-28,26;29,36;-27,03;29,65;3,71;-0,02;;;;;;;;1,550;11,63;18,07;20,22;13,09;19,63;20,37
1,600;19,14;20,35;21,91;18,29;20,00;20,43;1,600;19,87;20,20;20,24;-28,23;29,83;-26,87;29,60;4,32;-0,02;1,600;17,16;20,07;21,06;-28,39;29,77;-27,17;29,41;3,62;-0,02;1,600;12,91;17,76;20,75;-28,21;29,33;-27,06;29,78;3,85;0,02;;;;;;;;1,600;11,63;18,07;20,22;13,09;19,63;20,37
1,650;19,15;20,35;21,92;18,28;20,01;20,43;1,650;19,87;20,20;20,24;-28,37;29,61;-26,79;29,60;4,05;-0,06;1,650;17,16;20,07;21,06;-28,42;29,75;-27,09;29,41;3,65;-0,02;1,650;12,91;17,76;20,75;-28,26;29,19;-26,93;29,73;3,74;0,02;;;;;;;;1,650;11,63;18,07;20,22;13,09;19,63;20,37
1,700;19,15;20,35;21,92;18,29;20,00;20,44;1,700;19,87;20,20;20,24;-28,29;29,69;-26,84;29,62;4,18;0,06;1,700;17,16;20,07;21,06;-28,37;29,83;-27,09;29,38;3,76;0,02;1,700;12,91;17,76;20,75;-28,23;29,14;-27,09;29,65;3,47;-0,15;;;;;;;;1,700;11,63;18,07;20,22;13,08;19,63;20,37
1,750;19,15;20,35;21,92;18,29;20,00;20,43;1,750;19,87;20,20;20,24;-28,39;29,53;-26,93;29,57;3,78;0,02;1,750;17,16;20,07;21,06;-28,29;29,77;-27,17;29,57;3,89;-0,06;1,750;12,91;17,76;20,75;-28,23;29,22;-27,12;29,68;3,55;0,10;;;;;;;;1,750;11,63;18,06;20,22;13,09;19,63;20,37
1,800;19,15;20,35;21,92;18,29;20,01;20,43;1,800;19,87;20,20;20,24;-28,37;29,58;-26,84;29,65;4,02;-0,02;1,800;17,16;20,06;21,06;-28,37;29,80;-27,12;29,38;3,70;-0,02;1,800;12,91;17,76;20,75;-28,21;29,14;-26,95;29,73;3,71;-0,02;;;;;;;;1,800;11,72;18,06;20,22;13,09;19,63;20,37
